date,time,text,nearest_match,match_result,source,text_lr,text_bert
2024-07-17,11:21:00,"Here's how Group B is shaping up after matchday 1 ??

#U19EURO",Tournament window,,euro2024_domain,here how group shaping after matchday euro,Here's how Group B is shaping up after matchday 1 ?? #U19EURO
2024-07-17,11:30:00,"14 May?s seçimleri öncesi Erzurumdaki hall bulu?mas?nda ta?l? sald?r?ya u?rayan @ekrem_imamoglu ve beraberindekilerin ?ikayetçi oldu?u davada bugün karar ç?kt?. 

San?klar? azmettiren sald?r?y? organize edenlerin ortaya ç?kar?lmas? ad?na sundu?umuz deliller ve talepler incelenmeden verilen karar Demokrasiye yap?lan bu sald?r?ya kar?? maalesef dostlar al??veri?te görsün ?eklinde verilen bir ufak cezadan ibaret oldu.

Tüm san?klar hakk?nda yaralamaya te?ebbüsten 6 ay olarak verilen karar HAGB olarak uyguland?. De?i?en yasa gere?i bu karar? istinaf edebiliyoruz.",Tournament window,,euro2024_domain,may imleri ncesi erzurum daki hall bulu mas nda sald rayan beraberindekilerin ikayet oldu davada bug karar san klar azmettiren sald organize edenlerin ortaya kar lmas sundu umuz deliller talepler incelenmeden verilen karar demokrasi yap lan sald kar maalesef dostlar veri eklinde verilen bir ufak cezadan ibaret oldu san klar hakk nda yaralamaya ebb sten olarak verilen karar hagb olarak uyguland yasa gere karar istinaf edebiliyoruz,14 May?s seimleri ncesi Erzurumdaki hall bulu?mas?nda ta?l? sald?r?ya u?rayan @user ve beraberindekilerin ?ikayeti oldu?u davada bugn karar ?kt?. San?klar? azmettiren sald?r?y? organize edenlerin ortaya ?kar?lmas? ad?na sundu?umuz deliller ve talepler incelenmeden verilen karar Demokrasiye yap?lan bu sald?r?ya kar?? maalesef dostlar al??veri?te grsn ?eklinde verilen bir ufak cezadan ibaret oldu. Tm san?klar hakk?nda yaralamaya te?ebbsten 6 ay olarak verilen karar HAGB olarak uyguland?. De?i?en yasa gere?i bu karar? istinaf edebiliyoruz.
2024-07-17,11:33:00,"Spectacular Bellingham ????

#EURO2024",Tournament window,,euro2024_domain,spectacular bellingham euro,Spectacular Bellingham ???? #EURO2024
2024-07-17,12:00:00,Waiting for #FPL launch ...,Tournament window,,euro2024_domain,waiting fpl launch,Waiting for #FPL launch ...
2024-07-17,12:30:00,"Sensational Arda Güler strike ??????

#EURO2024",Tournament window,,euro2024_domain,sensational arda ler strike euro,Sensational Arda Gler strike ?????? #EURO2024
2024-07-17,12:55:00,"?? ?smail Saymaz, gündemi sarsacak kulis haberini verdi: Erdo?an'?n en yak?n adam? gidiyor! (@ismailsaymaz)

?? Buket Güler (@buketguler) ile #HaberMasas?   

?? yewtu.be/WjNDpHznC_c",Tournament window,,euro2024_domain,smail saymaz ndemi sarsacak kulis haberini verdi erdo yak adam gidiyor buket ler ile habermasas yewtu wjndphznc,"?? ?smail Saymaz, gndemi sarsacak kulis haberini verdi: Erdo?an'?n en yak?n adam? gidiyor! (@user) ?? Buket Gler (@user) ile #HaberMasas? ?? yewtu.be/WjNDpHznC_c"
2024-07-17,13:01:00,"???? Gift Orban ?? Breiðablik ??????

#HBD || #UECL",Tournament window,,euro2024_domain,gift orban brei ablik hbd uecl,???? Gift Orban ?? Breiablik ?????? #HBD || #UECL
2024-07-17,13:03:00,"Luka Modri? tracking back at 38 years old ??

#UCL",Tournament window,,euro2024_domain,luka modri tracking back years old ucl,Luka Modri? tracking back at 38 years old ?? #UCL
2024-07-17,13:15:00,"Xherdan Shaqiri's last EURO goal was as special as you'd expect! ?????????

Thank you for the golazos, @XS_11official ??

#EURO2024",Tournament window,,euro2024_domain,xherdan shaqiri last euro goal special expect thank golazos euro,"Xherdan Shaqiri's last EURO goal was as special as you'd expect! ????????? Thank you for the golazos, @user ?? #EURO2024"
2024-07-17,13:30:00,"Nuno Tavares ??

#UEL",Tournament window,,euro2024_domain,nuno tavares uel,Nuno Tavares ?? #UEL
2024-07-17,13:59:00,"Luka Modri? ??????

#EURO2024",Tournament window,,euro2024_domain,luka modri euro,Luka Modri? ?????? #EURO2024
2024-07-17,14:12:00,"Market's pumping! ???

After recent dips, $BTC just smashed through the $66,000 barrier today ??

We're now only about $10,000 away from new ATH!

Will we see it happen this year? ??",Tournament window,,euro2024_domain,market pumping after recent dips btc just smashed through barrier today now only about away new ath will see happen year,"Market's pumping! ??? After recent dips, $BTC just smashed through the $66,000 barrier today ?? We're now only about $10,000 away from new ATH! Will we see it happen this year? ??"
2024-07-17,14:25:00,"???? Kostas Fortounis ??

#UECL",Tournament window,,euro2024_domain,kostas fortounis uecl,???? Kostas Fortounis ?? #UECL
2024-07-17,14:33:00,"???? A captain's finish ??

#UECL",Tournament window,,euro2024_domain,captain finish uecl,???? A captain's finish ?? #UECL
2024-07-17,14:45:00,"Reyes de Europa ????

#EURO2024",Tournament window,,euro2024_domain,reyes europa euro,Reyes de Europa ???? #EURO2024
2024-07-17,15:02:00,Gift Orban = the only player to score multiple hat-tricks in the #UECL ??,Tournament window,,euro2024_domain,gift orban only player score multiple hat tricks uecl,Gift Orban = the only player to score multiple hat-tricks in the #UECL ??
2024-07-17,15:30:00,"Your favourite match at #EURO2024?! ??

Read a recap and vote for your pick ??",Tournament window,,euro2024_domain,favourite match euro read recap vote pick,Your favourite match at #EURO2024?! ?? Read a recap and vote for your pick ??
2024-07-17,15:32:00,?mamo?lu'na Sald?r?da San?klara ?yi Hal! | SON DAK?KA halktv.com.tr/siyaset/imamog,Tournament window,,euro2024_domain,mamo sald san klara hal son dak halktv com siyaset imamog,?mamo?lu'na Sald?r?da San?klara ?yi Hal! | SON DAK?KA halktv.com.tr/siyaset/imamog
2024-07-17,16:00:00,"Torres ?? Simeone ???

#UCL",Tournament window,,euro2024_domain,torres simeone ucl,Torres ?? Simeone ??? #UCL
2024-07-17,16:01:00,"Four teams in action as they aim to book their spot in the 2nd qualifying round ??

Tap below for live updates! ??

#UECL",Tournament window,,euro2024_domain,four teams action aim book spot qualifying round tap below live updates uecl,Four teams in action as they aim to book their spot in the 2nd qualifying round ?? Tap below for live updates! ?? #UECL
2024-07-17,16:15:00,"A moment of greatness ??????

#EURO2024",Tournament window,,euro2024_domain,moment greatness euro,A moment of greatness ?????? #EURO2024
